TimeUTC;TimeDK;RegionName;ConsumerCategory3;ConsumerCategory2;ConsumptionkWh
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Midtjylland;Erhverv;Erhverv;699285,224000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Sjælland;Privat;Privat;302223,776000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;51218,884000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Syddanmark;Privat;Privat;362889,101000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Nordjylland;Erhverv;Erhverv;370985,302000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;26255,703000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Sjælland;Erhverv;Erhverv;341000,221000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Sjælland;Offentlige foretagender;Erhverv;36526,338000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Syddanmark;Erhverv;Erhverv;731089,538000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;48135,800000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Hovedstaden;Privat;Privat;417638,644000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Hovedstaden;Erhverv;Erhverv;589070,985000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Midtjylland;Privat;Privat;382617,138000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;94334,393000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Nordjylland;Privat;Privat;196164,324000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Midtjylland;Erhverv;Erhverv;683025,113000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Sjælland;Privat;Privat;294799,060000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;52561,251000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Syddanmark;Privat;Privat;353277,121000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Nordjylland;Erhverv;Erhverv;341365,472000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;26826,620000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Sjælland;Erhverv;Erhverv;344748,809000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Sjælland;Offentlige foretagender;Erhverv;36674,499000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Syddanmark;Erhverv;Erhverv;711180,811000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;50297,527000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Hovedstaden;Privat;Privat;395730,451000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Hovedstaden;Erhverv;Erhverv;560294,023000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Midtjylland;Privat;Privat;367577,633000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;96245,019000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Nordjylland;Privat;Privat;188766,869000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Midtjylland;Erhverv;Erhverv;692171,738000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Sjælland;Privat;Privat;282676,869000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;53431,902000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Syddanmark;Privat;Privat;340172,964000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Nordjylland;Erhverv;Erhverv;331994,097000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;27281,236000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Sjælland;Erhverv;Erhverv;342723,580000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Sjælland;Offentlige foretagender;Erhverv;37275,488000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Syddanmark;Erhverv;Erhverv;700680,512000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;51454,649000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Hovedstaden;Privat;Privat;372993,077000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Hovedstaden;Erhverv;Erhverv;546590,537000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Midtjylland;Privat;Privat;350224,956000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;96829,963000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Nordjylland;Privat;Privat;179166,036000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Midtjylland;Erhverv;Erhverv;655787,382000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Sjælland;Privat;Privat;270883,452000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;53970,912000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Syddanmark;Privat;Privat;326792,280000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Nordjylland;Erhverv;Erhverv;354953,600000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;27413,490000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Sjælland;Erhverv;Erhverv;336958,922000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Sjælland;Offentlige foretagender;Erhverv;37884,047000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Syddanmark;Erhverv;Erhverv;677358,058000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;51374,123000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Hovedstaden;Privat;Privat;334624,652000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Hovedstaden;Erhverv;Erhverv;548765,531000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Midtjylland;Privat;Privat;322139,059000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;95454,298000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Nordjylland;Privat;Privat;165169,020000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Midtjylland;Erhverv;Erhverv;567610,668000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Sjælland;Privat;Privat;251204,819000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;52575,948000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Syddanmark;Privat;Privat;303169,008000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Nordjylland;Erhverv;Erhverv;354760,692000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;27528,669000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Sjælland;Erhverv;Erhverv;330017,264000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Sjælland;Offentlige foretagender;Erhverv;37583,380000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Syddanmark;Erhverv;Erhverv;657324,605000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;50822,895000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Hovedstaden;Privat;Privat;280904,518000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Hovedstaden;Erhverv;Erhverv;554879,654000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Midtjylland;Privat;Privat;272822,054000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;98458,684000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Nordjylland;Privat;Privat;141535,318000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Midtjylland;Erhverv;Erhverv;611206,983000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Sjælland;Privat;Privat;219160,212000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;57964,470000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Syddanmark;Privat;Privat;258319,123000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Nordjylland;Erhverv;Erhverv;365924,470000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;30325,379000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Sjælland;Erhverv;Erhverv;324263,723000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Sjælland;Offentlige foretagender;Erhverv;40151,202000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Syddanmark;Erhverv;Erhverv;683820,280000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;57204,558000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Hovedstaden;Privat;Privat;235743,490000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Hovedstaden;Erhverv;Erhverv;551188,699000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Midtjylland;Privat;Privat;225896,853000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;98341,171000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Nordjylland;Privat;Privat;119531,293000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Midtjylland;Erhverv;Erhverv;762805,733000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Sjælland;Privat;Privat;189008,355000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;58190,291000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Syddanmark;Privat;Privat;212533,935000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Nordjylland;Erhverv;Erhverv;376099,074000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;30489,258000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Sjælland;Erhverv;Erhverv;313092,406000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Sjælland;Offentlige foretagender;Erhverv;41696,496000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Syddanmark;Erhverv;Erhverv;705945,725000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;56029,086000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Hovedstaden;Privat;Privat;213328,715000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Hovedstaden;Erhverv;Erhverv;576722,592000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Midtjylland;Privat;Privat;204272,134000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;89540,076000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Nordjylland;Privat;Privat;109097,255000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Midtjylland;Erhverv;Erhverv;759694,765000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Sjælland;Privat;Privat;173637,180000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;51952,490000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Syddanmark;Privat;Privat;191128,378000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Nordjylland;Erhverv;Erhverv;373289,232000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;28231,571000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Sjælland;Erhverv;Erhverv;310128,006000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Sjælland;Offentlige foretagender;Erhverv;38604,854000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Syddanmark;Erhverv;Erhverv;694746,007000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;50382,292000
2024-12-31 04:00:00;2024-12-31 05:00:00;Region Hovedstaden;Privat;Privat;210967,322000
2024-12-31 04:00:00;2024-12-31 05:00:00;Region Hovedstaden;Erhverv;Erhverv;524098,902000
2024-12-31 04:00:00;2024-12-31 05:00:00;Region Midtjylland;Privat;Privat;220291,960000
2024-12-31 04:00:00;2024-12-31 05:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;81220,140000
2024-12-31 04:00:00;2024-12-31 05:00:00;Region Nordjylland;Privat;Privat;115204,522000
